,BusDesc,B1_PER_SUB_TYPE,DBA,Business_Location,add,add_num,street,new_name,alcohol
831,NONPROFIT COMMUNITY CENTER,Non Profit Organizations,ASHKENAZ MUSIC & DANCE COMM CT,"1317 SAN PABLO AVE
BERKELEY, CA 94702
(37.88013901, -122.29535102)",1317 SAN PABLO AVE,1317,SANPABLOAVE,ASHKENAZMUSICDANCECOMMCT,True
832,RESIDENTIAL RENTAL 6 UNITS,Rental of Real Property,SHELTON JAMES/EVELYN,"1437 WARD ST
BERKELEY, CA 94702
(37.85796699, -122.280658969)",1437 WARD ST,1437,WARDST,SHELTONJAMESEVELYN,False
833,RESIDENTIAL RENTAL PROPERTY,Rental of Real Property,1609 DERBY STREET LLC,"1609 DERBY ST
BERKELEY, CA 94703
(37.859258013, -122.277361025)",1609 DERBY ST,1609,DERBYST,1609DERBYSTREETLLC,False
834,RESIDENTIAL RENTAL 8 UNITS,Rental of Real Property,WANDER ROBERT H & INGRID,"1569 SPRUCE ST
BERKELEY, CA 94709
(37.879067006, -122.265528041)",1569 SPRUCE ST,1569,SPRUCEST,WANDERROBERTHINGRID,False
835,RENTAL PROPERTY 10 UNITS,Rental of Real Property,RUE-ELL ENTERPRISES INC,"2534 DURANT AVE
BERKELEY, CA 94704
(37.867779014, -122.25742601)",2534 DURANT AVE,2534,DURANTAVE,RUEELLENTERPRISES,False
837,TECHNICAL WRITING CONSULTANT,Professional SemiProfessional,JX CONSULTING INC,"1327 PERALTA AVE
BERKELEY, CA 94702
(37.879711994, -122.287950973)",1327 PERALTA AVE,1327,PERALTAAVE,JXCONSULTING,False
840,RESIDENTIAL RENTAL PROPERTY,Rental of Real Property,ASTEK LLC,"1371 SHATTUCK AVE
BERKELEY, CA 94709
(37.882575001, -122.269368964)",1371 SHATTUCK AVE,1371,SHATTUCKAVE,ASTEKLLC,False
841,NY STYLE DELI SANDWICHES,Retail Trade,DELIRAMA,"1746 SOLANO AVE
BERKELEY, CA 94707
(37.891001998, -122.281070017)",1746 SOLANO AVE,1746,SOLANOAVE,DELIRAMA,True
842,RENTAL PROPERTY,Rental of Real Property,ARCH STREET VILLIAGE LLC,"1862 ARCH ST
BERKELEY, CA 94709
(37.875116993, -122.264307971)",1862 ARCH ST,1862,ARCHST,ARCHSTREETVILLIAGELLC,False
843,BAKERY,Retail Trade,HOPKINS BAKERY INC,"1584 HOPKINS ST
BERKELEY, CA 94707
(37.881676, -122.281534962)",1584 HOPKINS ST,1584,HOPKINSST,HOPKINSBAKERY,False
845,RESIDENTIAL RENTAL,Rental of Real Property,UNGERN PAT,"1324 JOSEPHINE ST
BERKELEY, CA 94703
(37.882261726, -122.275379788)",1324 JOSEPHINE ST,1324,JOSEPHINEST,UNGERNPAT,False
846,RENTAL PROPERTY 8 UNITS,Rental of Real Property,VALUES INC INVESTMENT,"1225 ASHBY AVE
BERKELEY, CA 94702
(37.852585012, -122.285860024)",1225 ASHBY AVE,1225,ASHBYAVE,VALUESINVESTMENT,False
847,RENTAL PROPERTY/8 UNITS,Rental of Real Property,KAPOOR SUKHDEEP,"2230 PRINCE ST
BERKELEY, CA 94705
(37.853369013, -122.26252799)",2230 PRINCE ST,2230,PRINCEST,KAPOORSUKHDEEP,False
848,LIFE SCIENCES - RES & DEV,Professional SemiProfessional,O N DIAGNOSTICS LLC,"1936 UNIVERSITY AVE 280
BERKELEY, CA 94704
(37.871188981, -122.272116971)",1936 UNIVERSITY AVE 280,1936,UNIVERSITYAVE,ONDIAGNOSTICSLLC,False
851,RESIDENTIAL RENTAL PROPERTY/8 UNITS,Rental of Real Property,KHOSHNIAT-RAD HOSSIEN,"2429 EIGHTH ST
BERKELEY, CA 94710
(37.861122986, -122.29271399)",2429 EIGHTH ST,2429,EIGHTHST,KHOSHNIATRADHOSSIEN,False
853,STRATEGY & MARKETING CONSULTING & FICTION WRITING - NO CLIENTS AT LOCATION,Professional SemiProfessional,SEIBERG MARKETING LLC,"1937 RUSSELL ST
BERKELEY, CA 94703
(37.856624, -122.269591001)",1937 RUSSELL ST,1937,RUSSELLST,SEIBERGMARKETINGLLC,False
854,"PSYCHOTHERAPY, CLINICAL CONSULTATION & SUPERVISION",Professional SemiProfessional,ROBYN GANELES MFT,"519 SANTA BARBARA RD
BERKELEY, CA 94707
(37.901373011, -122.275890001)",519 SANTA BARBARA RD,519,SANTABARBARARD,ROBYNGANELESMFT,False
856,MASSAGE,Massage,OBA HISAKO,"1159 HEARST AVE A
BERKELEY, CA 94702
(37.871051979, -122.290434028)",1159 HEARST AVE A,1159,HEARSTAVEA,OBAHISAKO,False
858,PSYCHIATRY,Professional SemiProfessional,HANSSEN TORA,"921 THE ALAMEDA
BERKELEY, CA 94707
(37.890907995, -122.276583017)",921 THE ALAMEDA,921,THEALAMEDA,HANSSENTORA,False
860,RETAIL DRUG STORE,Retail Trade,WALGREENS 04614,"2801 ADELINE ST
BERKELEY, IL 94703
(37.85811602, -122.267261)",2801 ADELINE ST,2801,ADELINEST,WALGREENS04614,False
861,HEARING AID SALES,Retail Trade,BLUE SKY HEARING & AUDIOLOGY INC,"3017 TELEGRAPH AVE 230
BERKELEY, CA 94705
(37.855542986, -122.259392991)",3017 TELEGRAPH AVE 230,3017,TELEGRAPHAVE,BLUESKYHEARINGAUDIOLOGY,False
862,RENTAL PROPERTY 5 UNITS,Rental of Real Property,DISNEY JEANNETTE T,"2045 EMERSON ST
BERKELEY, CA 94703
(37.854566997, -122.267484964)",2045 EMERSON ST,2045,EMERSONST,DISNEYJEANNETTET,False
864,COMMERCIAL RENTAL - STORES & OFFICES,Rental of Real Property,WARREN DONALD,"3021 SHATTUCK AVE
BERKELEY, CA 94705
(37.854432006, -122.26615199)",3021 SHATTUCK AVE,3021,SHATTUCKAVE,WARRENDONALD,False
865,ICE CREAM SHOP,Retail Trade,AMAUSAAN UJI MATCHA,"1950 SHATTUCK AVE
BERKELEY, CA 94704
(37.872773999, -122.268820034)",1950 SHATTUCK AVE,1950,SHATTUCKAVE,AMAUSAANUJIMATCHA,False
867,GENERAL CONSTRUCTION,Construction or Contractor,SHABOD CONSTRUCTION,"1111 ALLSTON WAY
BERKELEY, CA 94702
(37.866682996, -122.290641983)",1111 ALLSTON WAY,1111,ALLSTONWAY,SHABODCONSTRUCTION,False
869,RENTAL PROPERTY,Rental of Real Property,"MARY E. GREEN, BETTY J CONNER & CLIFFORD MCFADDEN","2747 WALLACE ST
BERKELEY, CA 94702
(37.856062999, -122.286579023)",2747 WALLACE ST,2747,WALLACEST,MARYEGREENBETTYJCONNERCLIFFORDMCFADDEN,False
870,REAL ESTATE COMPANY,Professional SemiProfessional,ROBERTS REALTY INC,"2700 WEBSTER ST 4
BERKELEY, CA 94705
(37.855637995, -122.252696018)",2700 WEBSTER ST 4,2700,WEBSTERST,ROBERTSREALTY,False
871,INSURANCE BROKER,Professional SemiProfessional,FIDELITY INSURANCE SERVICE,"801 ALLSTON WAY
BERKELEY, CA 94710
(37.865300988, -122.297810019)",801 ALLSTON WAY,801,ALLSTONWAY,FIDELITYINSURANCESERVICE,False
872,RENTAL PROPERTY  6 UNITS,Rental of Real Property,COLLIER PAMELA/BATTI GREG,"2400 DANA ST
BERKELEY, CA 94704
(37.86645702, -122.261306998)",2400 DANA ST,2400,DANAST,COLLIERPAMELABATTIGREG,False
874,ARCHITECT,Professional SemiProfessional,OSTERMAN GARY,"1006 CHANNING WAY
BERKELEY, CA 94710
(37.862315019, -122.291947968)",1006 CHANNING WAY,1006,CHANNINGWAY,OSTERMANGARY,False
875,VEHICLE TOWING & STORAGE,Business Personal Repair Svs,M&A TOWING,"2601 SAN PABLO AVE
BERKELEY, CA 94702
(37.859274986, -122.288625968)",2601 SAN PABLO AVE,2601,SANPABLOAVE,MATOWING,False
876,GROCERY & LIQOUR STORE,Retail Trade,BOBS LIQUOR & DELI,"2842 SACRAMENTO ST
BERKELEY, CA 94702
(37.856097993, -122.279899988)",2842 SACRAMENTO ST,2842,SACRAMENTOST,BOBSLIQUORDELI,True
877,RENTAL PROPERTY,Rental of Real Property,2918 FLORENCE STREET APARTMENTS,"2918 FLORENCE ST
BERKELEY, CA 94705
(37.857095985, -122.258615988)",2918 FLORENCE ST,2918,FLORENCEST,2918FLORENCESTREETAPARTMENTS,False
879,AUTO REPAIR SERVICE,Business Personal Repair Svs,BASURTO HENRY SERVICE,"1321 GILMAN ST
BERKELEY, CA 94706
(37.881368007, -122.288809029)",1321 GILMAN ST,1321,GILMANST,BASURTOHENRYSERVICE,False
880,COMMERCIAL RENTAL PROPERTY,Rental of Real Property,PARS INVESTMENT LLC,"1330 GILMAN ST
BERKELEY, CA 94706
(37.88093001, -122.28869998)",1330 GILMAN ST,1330,GILMANST,PARSINVESTMENTLLC,False
881,HANDYMAN,Business Personal Repair Svs,MI BUILDERS,"1645 DWIGHT WAY
BERKELEY, CA 94703
(37.862905985, -122.27688904)",1645 DWIGHT WAY,1645,DWIGHTWAY,MIBUILDERS,False
882,RESIDENTAIL RENTAL 4 UNITS,Rental of Real Property,HEATON DAVID G,"3026 SHATTUCK AVE
BERKELEY, CA 94705
(37.854110015, -122.266611989)",3026 SHATTUCK AVE,3026,SHATTUCKAVE,HEATONDAVIDG,False
883,HAIR STYLIST/MAKE UP,Business Personal Repair Svs,SALON LA LUZ,"888 COLUSA AVE
BERKELEY, CA 94707
(37.891605998, -122.280097968)",888 COLUSA AVE,888,COLUSAAVE,SALONLALUZ,False
884,ACUPUNCTURIST,Professional SemiProfessional,MINK KATIE MCELYEA,"1718 BANCROFT WAY
BERKELEY, CA 94703
(37.866376009, -122.276170963)",1718 BANCROFT WAY,1718,BANCROFTWAY,MINKKATIEMCELYEA,False
886,RENTALS,Rental of Real Property,2900 COLLEGE ASSOCIATES LLC,"2900 COLLEGE AVE
BERKELEY, CA 94705
(37.858231984, -122.253365983)",2900 COLLEGE AVE,2900,COLLEGEAVE,2900COLLEGEASSOCIATESLLC,False
887,FINE ART ORGINIAL PAINTINGS,Professional SemiProfessional,YOUR TRUE GREETINGS,"2547 EIGHTH ST 34
BERKELEY, CA 94710
(37.859523007, -122.292320962)",2547 EIGHTH ST 34,2547,EIGHTHST,YOURTRUEGREETINGS,False
888,RENTAL PROPERTY 6 UNITS,Rental of Real Property,MAREK CHRISTIAN & OPPENHEIMER,"1676 DWIGHT WAY
BERKELEY, CA 94703
(37.86244498, -122.276913013)",1676 DWIGHT WAY,1676,DWIGHTWAY,MAREKCHRISTIANOPPENHEIMER,False
889,RENTAL PROPERTY - 1 UNIT,Rental of Real Property,MOMTCHEV STANISLAV & KALOYANOVA ELENA,"2710 DURANT AVE
BERKELEY, CA 94704
(37.868221997, -122.253881973)",2710 DURANT AVE,2710,DURANTAVE,MOMTCHEVSTANISLAVKALOYANOVAELENA,False
890,WEB DEVELOPMENT,Professional SemiProfessional,MALAGA CORP,"2512 NINTH ST 8
BERKELEY, CA 94710
(37.860246994, -122.292069002)",2512 NINTH ST 8,2512,NINTHST,MALAGACORP,False
893,RESTAURANT,Retail Trade,DARBAND MEDITERRANEAN RESTAURANT,"1511 SHATTUCK AVE A
BERKELEY, CA 94709
(37.879825988, -122.268935033)",1511 SHATTUCK AVE A,1511,SHATTUCKAVEA,DARBANDMEDITERRANEANRESTAURANT,False
895,ELECTRONIC BIKES-ACCESSORIES & ASSOCIATED SERVICE CENTER,Retail Trade,RAD POWER BIKES INC,"2734 SAN PABLO AVE
BERKELEY, WA 94702
(37.856665993, -122.288587998)",2734 SAN PABLO AVE,2734,SANPABLOAVE,RADPOWERBIKES,False
896,RESIDENTIAL DESIGN,Professional SemiProfessional,07 STUDIOS,"2512 NINTH ST 3
BERKELEY, CA 94710
(37.860246994, -122.292069002)",2512 NINTH ST 3,2512,NINTHST,07STUDIOS,False
898,RESIDENTIAL RENTAL 14 UNITS,Rental of Real Property,HAN FRANCIS SHUYE & WUPI,"1780 SPRUCE ST
BERKELEY, CA 94709
(37.875594007, -122.265820989)",1780 SPRUCE ST,1780,SPRUCEST,HANFRANCISSHUYEWUPI,False
899,RESIDENTIAL RENTAL 18 UNITS,Rental of Real Property,DODD BRUCE C,"1476 UNIVERSITY AVE
BERKELEY, CA 94702
(37.869934001, -122.28272603)",1476 UNIVERSITY AVE,1476,UNIVERSITYAVE,DODDBRUCEC,False
